name,height,width,beta_hat,l1,stego_method,alpha
images/10.png,512,512,0.0029045492,0.33477566,,
images/6.png,512,512,0.0024793185,0.29196313,,
images/7.png,512,512,0.020375956,0.46733427,,
images/8.png,512,512,0.0036290875,0.22475165,,
images/9.png,512,512,0.000632217,0.19423097,,
stego_LSBR_alpha_0.01_independent_images/10.png,512,512,0.0029622985,0.33480445,LSBR,0.01
stego_LSBR_alpha_0.01_independent_images/6.png,512,512,0.002505184,0.2920298,LSBR,0.01
stego_LSBR_alpha_0.01_independent_images/7.png,512,512,0.020973423,0.46739665,LSBR,0.01
stego_LSBR_alpha_0.01_independent_images/8.png,512,512,0.0036262947,0.22476643,LSBR,0.01
stego_LSBR_alpha_0.01_independent_images/9.png,512,512,0.0007511197,0.1942441,LSBR,0.01
stego_LSBR_alpha_0.05_independent_images/10.png,512,512,0.0041518477,0.3349875,LSBR,0.05
stego_LSBR_alpha_0.05_independent_images/6.png,512,512,0.002633433,0.29224095,LSBR,0.05
stego_LSBR_alpha_0.05_independent_images/7.png,512,512,0.02290403,0.46763223,LSBR,0.05
stego_LSBR_alpha_0.05_independent_images/8.png,512,512,0.0037054087,0.22482368,LSBR,0.05
stego_LSBR_alpha_0.05_independent_images/9.png,512,512,0.00089348806,0.19427218,LSBR,0.05
stego_LSBR_alpha_0.1_independent_images/10.png,512,512,0.0047749663,0.3352511,LSBR,0.1
stego_LSBR_alpha_0.1_independent_images/6.png,512,512,0.0030411899,0.29243368,LSBR,0.1
stego_LSBR_alpha_0.1_independent_images/7.png,512,512,0.02480682,0.46784058,LSBR,0.1
stego_LSBR_alpha_0.1_independent_images/8.png,512,512,0.00376149,0.2248657,LSBR,0.1
stego_LSBR_alpha_0.1_independent_images/9.png,512,512,0.00059966656,0.1943233,LSBR,0.1
stego_LSBR_alpha_0.2_independent_images/10.png,512,512,0.007340242,0.33578542,LSBR,0.2
stego_LSBR_alpha_0.2_independent_images/6.png,512,512,0.0036984044,0.29291576,LSBR,0.2
stego_LSBR_alpha_0.2_independent_images/7.png,512,512,0.02791339,0.4682376,LSBR,0.2
stego_LSBR_alpha_0.2_independent_images/8.png,512,512,0.0037074594,0.22494218,LSBR,0.2
stego_LSBR_alpha_0.2_independent_images/9.png,512,512,0.0003185689,0.19438677,LSBR,0.2
stego_LSBR_alpha_0.4_independent_images/10.png,512,512,0.011685679,0.33670577,LSBR,0.4
stego_LSBR_alpha_0.4_independent_images/6.png,512,512,0.0047948104,0.2939284,LSBR,0.4
stego_LSBR_alpha_0.4_independent_images/7.png,512,512,0.036165733,0.4690213,LSBR,0.4
stego_LSBR_alpha_0.4_independent_images/8.png,512,512,0.004033474,0.22516616,LSBR,0.4
stego_LSBR_alpha_0.4_independent_images/9.png,512,512,0.00038705376,0.19458343,LSBR,0.4
stego_LSBR_alpha_1.0_independent_images/10.png,512,512,0.021408508,0.33949763,LSBR,1.0
stego_LSBR_alpha_1.0_independent_images/6.png,512,512,0.0073415046,0.29627693,LSBR,1.0
stego_LSBR_alpha_1.0_independent_images/7.png,512,512,0.056005202,0.4711545,LSBR,1.0
stego_LSBR_alpha_1.0_independent_images/8.png,512,512,0.005042065,0.22571447,LSBR,1.0
stego_LSBR_alpha_1.0_independent_images/9.png,512,512,0.00029212493,0.19501936,LSBR,1.0
stego_HILLR_alpha_0.01_independent_images/10.png,512,512,0.0029815263,0.3347922,HILLR,0.01
stego_HILLR_alpha_0.01_independent_images/6.png,512,512,0.0024894497,0.29197738,HILLR,0.01
stego_HILLR_alpha_0.01_independent_images/7.png,512,512,0.020518223,0.46734297,HILLR,0.01
stego_HILLR_alpha_0.01_independent_images/8.png,512,512,0.0034552538,0.2247519,HILLR,0.01
stego_HILLR_alpha_0.01_independent_images/9.png,512,512,0.0015011276,0.19425952,HILLR,0.01
stego_HILLR_alpha_0.05_independent_images/10.png,512,512,0.00323769,0.33477834,HILLR,0.05
stego_HILLR_alpha_0.05_independent_images/6.png,512,512,0.00277694,0.29199612,HILLR,0.05
stego_HILLR_alpha_0.05_independent_images/7.png,512,512,0.018944226,0.46729636,HILLR,0.05
stego_HILLR_alpha_0.05_independent_images/8.png,512,512,0.0033631406,0.22474705,HILLR,0.05
stego_HILLR_alpha_0.05_independent_images/9.png,512,512,0.002115039,0.19427006,HILLR,0.05
